fund_ticker,fund_name,is_direct_holding,line_6a_ordinary_earnings_usd,line_6b_portion_distributed_usd,line_6c_tax_on_6a_usd,line_7a_net_capital_gains_usd,line_7b_portion_distributed_usd,line_7c_tax_on_7a_usd
XEQT,iShares Core Equity ETF Portfolio,True,20.20,0,20.20,30.57,0,30.57
XIC,iShares Core S&P/TSX Capped Composite Index ETF,False,31.02,0,31.02,53.42,0,53.42
XEF,iShares Core MSCI EAFE IMI Index ETF,False,27.12,0,27.12,6.61,0,6.61
XEC,iShares Core MSCI Emerging Markets IMI Index ETF,False,5.02,0,5.02,1.08,0,1.08
